"Genus_species","Order","Family","CFAR","ProportionalGillAverage","AvgTemperature","MaximumBodySize","PrimaryHabitat","IUCNcategory","WaterColumnPosition"
"Cephaloscyllium_speccum","Carcharhiniformes","Scyliorhinidae",1.309090909,0.0236,13.393711954193,69,"Deepwater","DD","Benthic"
"Cephaloscyllium_stevensi","Carcharhiniformes","Scyliorhinidae",1.028571429,0.0226,16.2708096504211,66,"Deepwater","LC","Benthic"
"Cephaloscyllium_sufflans","Carcharhiniformes","Scyliorhinidae",0.9307692308,0.025,18.9428216011206,110,"Deepwater","NT","Benthic"
"Cephaloscyllium_umbratile","Carcharhiniformes","Scyliorhinidae",0.5785714286,0.0174,14.5827764052868,115,"Deepwater","NT","Benthic"
"Cephaloscyllium_variegatum","Carcharhiniformes","Scyliorhinidae",1.408333333,0.0192,15.4609983340197,74,"Deepwater","NT","Benthic"
"Cephaloscyllium_ventriosum","Carcharhiniformes","Scyliorhinidae",0.9307692308,0.0246,13.884367495739,110,"Coastal","LC","Benthic"
"Cephaloscyllium_zebrum","Carcharhiniformes","Scyliorhinidae",1.309090909,0.027,11.2576380835639,45,"Deepwater","DD","Benthic"
"Cephalurus_cephalus","Carcharhiniformes","Pentanchidae",0.7142857143,0.0256,9.48551720681666,30,"Deepwater","LC","Benthic"
"Chaenogaleus_macrostoma","Carcharhiniformes","Hemigaleidae",1.21,0.0486,26.2976748527832,125,"Coastal","VU","Benthopelagic"
"Chiloscyllium_arabicum","Orectolobiformes","Hemiscylliidae",0.4083333333,0.0294,25.312648710082,80,"Coastal","NT","Benthic"
"Chiloscyllium_burmensis","Orectolobiformes","Hemiscylliidae",0.3769230769,0.0194,28.0523452091432,57.5,"Coastal","VU","Benthic"
"Chiloscyllium_caeruleopunctatum","Orectolobiformes","Hemiscylliidae",0.628,0.0242,24.5829757301553,67,"Coastal","DD","Benthic"
"Chiloscyllium_griseum","Orectolobiformes","Hemiscylliidae",0.5882352941,0.04,27.0188239391126,77,"Coastal","VU","Benthic"
"Chiloscyllium_hasseltii","Orectolobiformes","Hemiscylliidae",0.7142857143,0.0282,28.542026897344,88,"Coastal","EN","Benthic"
"Chiloscyllium_indicum","Orectolobiformes","Hemiscylliidae",0.7692307692,0.024,26.6182357883231,65,"Coastal","VU","Benthic"
"Chiloscyllium_plagiosum","Orectolobiformes","Hemiscylliidae",0.54,0.0362,27.0129633312922,95,"Coastal","NT","Benthic"
