Subclass,Order,Family,Genus,Species,Genus_species,GenusSpaceSpecies,area_sqkm,Endemic_lessthan149246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,schultzi,Etmopterus_schultzi,Etmopterus schultzi,206098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,sculptus,Etmopterus_sculptus,Etmopterus sculptus,210800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,sentosus,Etmopterus_sentosus,Etmopterus sentosus,24899,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,sheikoi,Etmopterus_sheikoi,Etmopterus sheikoi,218,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,spinax,Etmopterus_spinax,Etmopterus spinax,2097343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,splendidus,Etmopterus_splendidus,Etmopterus splendidus,50357,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,unicolor,Etmopterus_unicolor,Etmopterus unicolor,502903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,viator,Etmopterus_viator,Etmopterus viator,133551,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,villosus,Etmopterus_villosus,Etmopterus villosus,12561,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Etmopterus,virens,Etmopterus_virens,Etmopterus virens,555451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Etmopteridae,Trigonognathus,kabeyai,Trigonognathus_kabeyai,Trigonognathus kabeyai,61245,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Centroscymnus,coelolepis,Centroscymnus_coelolepis,Centroscymnus coelolepis,10918625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Centroscymnus,owstonii,Centroscymnus_owstonii,Centroscymnus owstonii,1148292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Centroselachus,crepidater,Centroselachus_crepidater,Centroselachus crepidater,2697972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodalatias,albicauda,Scymnodalatias_albicauda,Scymnodalatias albicauda,10206,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodalatias,garricki,Scymnodalatias_garricki,Scymnodalatias garricki,349,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodalatias,oligodon,Scymnodalatias_oligodon,Scymnodalatias oligodon,110369,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodalatias,sherwoodi,Scymnodalatias_sherwoodi,Scymnodalatias sherwoodi,6868,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodon,ichiharai,Scymnodon_ichiharai,Scymnodon ichiharai,23741,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Centroscymnus,macracanthus,Centroscymnus_macracanthus,Centroscymnus macracanthus,10918625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodon,plunketi,Scymnodon_plunketi,Scymnodon plunketi,675188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Scymnodon,ringens,Scymnodon_ringens,Scymnodon ringens,353709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Somniosus,antarcticus,Somniosus_antarcticus,Somniosus antarcticus,938833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Somniosus,cheni,Somniosus_cheni,Somniosus cheni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Somniosus,longus,Somniosus_longus,Somniosus longus,92767,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Somniosus,microcephalus,Somniosus_microcephalus,Somniosus microcephalus,9165399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Somniosus,pacificus,Somniosus_pacificus,Somniosus pacificus,5319620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Somniosus,rostratus,Somniosus_rostratus,Somniosus rostratus,996853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Somniosidae,Zameus,squamulosus,Zameus_squamulosus,Zameus squamulosus,4169970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Oxynotidae,Oxynotus,bruniensis,Oxynotus_bruniensis,Oxynotus bruniensis,478713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Oxynotidae,Oxynotus,caribbaeus,Oxynotus_caribbaeus,Oxynotus caribbaeus,129231,Endemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shark,Squaliformes,Oxynotidae,Oxynotus,centrina,Oxynotus_centrina,Oxynotus centrina,2218891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
